id	type	slug	name	born	died	gender	species	hair_color	eye_color	skin_color	blood_status	marital_status	nationality	animagus	boggart	house	patronus	alias_names	family_members	jobs	romances	titles	wands	idhouses	idgender	idspecies	idsangre
080f0fd8 350c 4001 aed0 aa392c5ccd0f	character	alasdair maddock	alasdair maddock	before 1981	missing	male	human	missing	missing	missing	squib or wizard  likely 	missing	missing	missing	missing	wampus	missing	missing	missing	[ chaser for the montrose magpies  formerly  ]	missing	[ chaser  formerly  ]	missing	w	g2	sp1	s17
2170e1be a9a0 493a 96ca cd5008f770d2	character	alastair	alastair	pre 1991	missing	male	spider	brown or black	black	missing	muggle born or half blood	missing	missing	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	missing	missing	missing	missing	missing	h	g2	sp3	s7
3d90b1cb 6847 41d4 a310 44c03fa1896a	character	alastor gumboil	alastor gumboil	before 1982	missing	male	human	missing	missing	missing	pure blood or squib	missing	missing	missing	missing	slytherin	missing	missing	missing	[ hit wizard ]	missing	missing	missing	s	g2	sp1	s38
903835e9 0253 4a83 8e77 357fe04b19e0	character	alastor moody	alastor moody	before 1959	27 july, 1997   aged at least 37   38 , south england great britain	male	human	grey	one dark, one electric blue	missing	pure blood	single	british or irish	missing	lord voldemort	horned serpent	non corporeal	[ mad eye ]	[ mr moody  father    ,  mrs moody  mother    ]	[ auror  retired  ]	missing	missing	[ unknown length, wood and core ]	hs	g2	sp1	s2
d3370262 9f9f 4ec2 96b5 1750dd5b4126	character	albanian peasant	albanian peasant	missing	after 1946	missing	human	missing	missing	missing	muggle	missing	albanian	missing	missing	wampus	missing	missing	missing	missing	missing	missing	missing	w	g0	sp1	s0
89dc7958 f7d7 489c 835c 6d6a292e7fd5	character	alberic grunnion	alberic grunnion	1803	1882  aged 78 79 	male	human	white	missing	white	muggle born or half blood  presumably 	missing	british	missing	missing	did not attend hogwarts	missing	missing	missing	[ inventor ]	missing	missing	missing	d	g2	sp1	s54
0631b53d 3d8d 4235 baaa 793d3a7ccf64	character	albert	albert	on or prior to 31 august 1981,	missing	male	human	blond	missing	light	pure bloods, half bloods or squibs	missing	british or irish	missing	missing	hufflepuff	missing	missing	[ marilyn  possibly  ,  arthur  possibly  ]	missing	missing	missing	missing	h	g2	sp1	s37
5d124cf1 c930 4070 99c7 d954df389f33	character	albert no maj	albert	before 1932	missing	male	human	missing	missing	missing	no maj	missing	american	missing	missing	hufflepuff	missing	missing	missing	[ employee at kowalski quality baked goods ]	missing	missing	missing	h	g2	sp1	s5
399d6ad2 9983 4c55 a90e 242d1a73bb73	character	alberta toothill	alberta toothill	1391, england	1483  aged 91   92 	female	human	grey  formerly ginger 	blue	white	muggle  most likely 	missing	english	missing	missing	did not attend hogwarts	missing	missing	missing	[ professional duellist ]	missing	[ duelling champion ]	missing	d	g1	sp1	s60
218e1ae4 1e0e 4747 b96a 45ea2b6c0dc1	character	albert bellchant	albert bellchant	missing	missing	male	human	missing	missing	missing	pure blood or half blood	missing	british or irish	missing	missing	thunderbird	missing	missing	[ astor bellchant  father  ,  bellchant family ]	missing	missing	missing	missing	t	g2	sp1	s4
e188d1e6 b8db 4049 a381 bcb55d7bd443	character	albert boot	albert boot	before 1730	missing	male	human	missing	missing	missing	pure blood or half blood	missing	missing	missing	missing	wampus	missing	missing	[ boot family ]	[ british minister for magic  1747   1752  ]	missing	[ minister for magic ]	missing	w	g2	sp1	s4
9f3ab233 b40b 43fe af82 1c3b70bd9657	character	albert einstein	albert einstein	14 march 1879	18 april 1955	male	human	missing	missing	missing	muggle	missing	missing	missing	missing	wampus	missing	missing	missing	[ theoretical physicist ]	missing	missing	missing	w	g2	sp1	s0
7f20cd2e 4b27 48d9 bba2 3fd894e6c80a	character	albert stump	albert gibbering stump	1662	after 1700	male	human	missing	missing	missing	muggle borns	missing	missing	missing	missing	hufflepuff	missing	missing	[ google stump  possibly  ,  grogan stump  possible descendant  ,  tobias stump  possible descendant  ,  stump family ]	missing	missing	missing	missing	h	g2	sp1	s67
ea187e41 8230 433f a850 f23c804d94d4	character	albert jorkins	albert jorkins	before 1981	missing	male	human	missing	missing	missing	part human  one eighth veela 	married	missing	missing	missing	did not attend hogwarts	missing	missing	[ primrose jorkins  wife  ,  grimwold jorkins  son  ,  granville jorkins  son  ,  griselda jorkins  daughter  ,  bertha jorkins  possible  ,  stamford jorkins  possible  ]	missing	missing	missing	missing	d	g2	sp1	s66
b2f15a6c 4c5b 41e5 94c4 7dbfb00d086f	character	albert mccausland	albert l  mccausland	missing	missing	male	human	missing	missing	missing	no maj	missing	american	missing	missing	ravenclaw	missing	missing	missing	[ president of steen national bank ]	missing	missing	missing	r	g2	sp1	s5
f19bd817 2bb1 436e b045 570c5713ef11	character	alberto macellarius	alberto macellarius	missing	missing	male	human	bald	missing	missing	non magique	missing	american	missing	missing	pukwudgie	missing	[ the rat ]	missing	[ con artist ]	missing	missing	missing	p	g2	sp1	s64
757a814f c118 44e7 82b3 288021d727c6	character	albert perschky	albert perschky	missing	missing	male	human	bald	missing	missing	part human  quarter veela 	missing	missing	missing	missing	thunderbird	missing	missing	missing	[ apparition examiner ]	missing	missing	missing	t	g2	sp1	s41
5ecbe8e4 80a1 45a8 81ad eb460c157b98	character	albert runcorn	albert runcorn	pre 1980	missing	male	human	black	missing	missing	pure blood or half blood	missing	missing	missing	missing	thunderbird	non corporeal	missing	[ runcorn  possibly  ]	[ british ministry of magic official ]	missing	missing	missing	t	g2	sp1	s4
fe3906dc ab8e 4181 a6e4 71cc39e1ad09	character	albert sallow	albert sallow	missing	missing	male	human	missing	missing	missing	pure blood, half blood or muggle born	missing	british	missing	missing	ravenclaw	missing	missing	[ sebastian sallow  possible relative  ,  sallow family ]	[ unspeakable ]	missing	missing	missing	r	g2	sp1	s11
14002eba 9bd6 40b7 bb91 b4f9534e2160	character	albert tillyman	albert tillyman	missing	1875	male	human	missing	missing	missing	magical to unknown extent	married	missing	missing	missing	did not attend hogwarts	missing	missing	[ violet tillyman  wife  ,  mother in law ]	missing	missing	missing	missing	d	g2	sp1	s23
5bb3206e 706b 4d06 8866 32b6017f74d8	character	albino peacock	albino peacock	pre 1997	missing	male	peacock	missing	black	missing	muggle born  possibly 	missing	missing	missing	missing	horned serpent	missing	missing	missing	missing	missing	missing	missing	hs	g2	sp4	s14
557df0f9 c6b3 4298 b6b9 1a972bba1f72	character	albus dumbledore s great great grandfather	albus dumbledore s great great grandfather	before 1864	before 1927	male	human	missing	missing	missing	muggle born or half blood	missing	missing	missing	missing	wampus	missing	missing	[ percival dumbledore  great grandson    ,  kendra dumbledore  great granddaughter in law  ,  albus dumbledore  great great grandson    ,  aberforth dumbledore  great great grandson  ,  ariana dumbledore  great great granddaughter    ,  aurelius dumbledore  great great great grandson  ]	missing	missing	missing	missing	w	g2	sp1	s7
4e7df6ff f805 4e90 8c1b c6abc7eaca9c	character	albus dumbledore s great great grandfather s phoenix	albus dumbledore s great great grandfather s phoenix	missing	immortal	missing	phoenix	missing	black	missing	pure blood  likely 	missing	missing	missing	missing	slytherin	missing	missing	missing	missing	missing	missing	missing	s	g0	sp5	s39
07a2d24a 602c 4986 9941 86cc80f35709	character	albus dumbledore	albus percival wulfric brian dumbledore	late august 1881, mould on the wold, england, great britain	30 june, 1997  aged 115 , astronomy tower, hogwarts castle, highlands, scotland, great britain	male	human	silver, auburn  formerly   1927 	blue	fair	half blood	single	english	missing	the corpse of his sister, ariana	gryffindor	phoenix	missing	[ percival dumbledore  father    ,  kendra dumbledore  mother    ,  aberforth dumbledore  younger brother  ,  ariana dumbledore  younger sister    ,  aurelius dumbledore  nephew  ,  honoria  aunt  ,  mr dumbledore  paternal great great grandfather    ,  dumbledore family ]	[ professor of defence against the dark arts at hogwarts  1910s  ,  head of transfiguration department    pre 1955  ,  columnist for transfiguration today  1926–   ,  headmaster of hogwarts  pre 1971 –1997  ,  supreme mugwump of the international confederation of wizards    1995  ]	[ gellert grindelwald  former lover  ]	[ prefect ,  head boy ,  professor ,  head of transfiguration  formerly  ,  headmaster ,  grand sorcerer ,  supreme mugwump  formerly  ,  chief warlock ]	[ unknown length, wood and core  formerly  ,  15 , elder, thestral tail hair core ]	g	g2	sp1	s1
5cc03c96 8991 476e ac91 9c293e289610	character	albus potter s ferret	albus potter s ferret	2017 or earlier	missing	missing	ferret	grey and black	missing	missing	part human  half veela 	missing	missing	missing	missing	gryffindor	missing	missing	missing	missing	missing	missing	missing	g	g0	sp6	s16
863c4c44 2c18 4aec 90a4 f778987cfd23	character	albus potter s owl	albus potter s owl	before 2017	missing	missing	owl	missing	missing	missing	squib  suspected 	missing	missing	missing	missing	horned serpent	missing	missing	missing	missing	missing	missing	missing	hs	g0	sp7	s48
239feb61 a261 46b5 97e7 b4d2ff8afc5b	character	albus potter	albus severus potter	between 1 september 2005 and 31 august 2006 great britain	missing	male	human	jet black	bright green	light	half blood	single	english	missing	missing	slytherin	missing	[ al  by harry potter  ,  slytherin squib  by karl jenkins  ,  ronald weasley  under disguise of polyjuice potion  ]	[ harry potter  father  ,  ginevra potter  née weasley   mother  ,  james potter ii  older brother  ,  lily l  potter  younger sister  ,  james potter i  paternal grandfather    ,  lily j  potter  née evans   paternal grandmother    ,  arthur weasley  maternal grandfather  ,  molly weasley  née prewett   maternal grandmother  ,  william weasley  maternal uncle  ,  charles weasley  maternal uncle  ,  percy weasley  maternal uncle  ,  fred weasley  maternal uncle    ,  george weasley  maternal uncle  ,  ronald weasley  maternal uncle  ,  fleur weasley  née delacour   maternal aunt by marriage  ,  angelina weasley  née johnson   maternal aunt by marriage  ,  audrey weasley  maternal aunt by marriage  ,  hermione granger  maternal aunt by marriage  ,  victoire weasley  maternal first cousin  ,  dominique weasley  maternal first cousin  ,  louis weasley  maternal first cousin  ,  molly weasley ii  maternal first cousin  ,  lucy weasley  maternal first cousin  ,  fred weasley ii  maternal first cousin  ,  roxanne weasley  maternal first cousin  ,  rose granger weasley  maternal first cousin  ,  hugo granger weasley  maternal first cousin  ,  hardwin potter  paternal ancestor    ,  iolanthe potter  née peverell   paternal ancestor    ,  linfred of stinchcombe  paternal ancestor    ,  mr peverell  paternal ancestor    ,  ignotus peverell  paternal ancestor    ,  lord voldemort  paternal distant cousin    ,  delphini  paternal distant cousin  ,  potter family ,  weasley family  maternal family  ,  evans family  paternal relatives  ,  prewett family  maternal relatives  ,  house of black  maternal ancestors  ,  yaxley family  maternal ancestors  ,  fleamont family  paternal ancestors  ,  flint family  maternal ancestors  ,  peverell family  paternal ancestors  ]	missing	[ delphini  former crush  ]	missing	[ cherry, unknown length and core ]	s	g2	sp1	s1
